Wavelength	Ganancia relativa	error
510.000000	0.890206	0.002735
510.330000	0.890251	0.007501
510.690000	0.889944	0.010732
510.724393	0.889692	0.011531
511.000000	0.889631	0.019818
511.050000	0.889596	0.020667
511.410000	0.889898	0.000741
511.619852	0.890221	0.005018
511.780000	0.890434	0.009422
512.000000	0.890809	0.004496
512.140000	0.891405	0.005965
512.500000	0.892049	0.004465
512.515312	0.892800	0.005086
512.870000	0.893456	0.002668
513.000000	0.894150	0.002292
513.230000	0.894756	0.001733
513.410771	0.895529	0.003043
513.590000	0.896402	0.004238
513.950000	0.897454	0.017052
514.000000	0.898428	0.017942
514.306230	0.899097	0.016948
514.320000	0.899759	0.017535
514.680000	0.900301	0.008516
515.000000	0.900674	0.008321
515.040000	0.901114	0.009673
515.201690	0.901559	0.014988
515.400000	0.902366	0.021237
515.770000	0.903263	0.031111
516.000000	0.904155	0.025227
516.097149	0.905144	0.032075
516.130000	0.906200	0.033708
516.490000	0.907165	0.007119
516.850000	0.908034	0.040874
516.992608	0.908880	0.039077
517.000000	0.909523	0.039581
517.220000	0.910441	0.069565
517.580000	0.911652	0.009921
517.888068	0.912606	0.008728
517.940000	0.913744	0.010828
518.000000	0.914688	0.003380
518.300000	0.915233	0.029083
518.660000	0.915761	0.056127
518.783527	0.916340	0.050093
519.000000	0.916995	0.039371
519.030000	0.917779	0.038370
519.390000	0.919185	0.009034
519.678986	0.920608	0.005038
519.750000	0.921841	0.004963
520.000000	0.923010	0.001603
520.110000	0.924107	0.001890
520.470000	0.925390	0.002968
520.574446	0.926696	0.006841
520.830000	0.928072	0.014468
521.000000	0.929632	0.012845
521.200000	0.930956	0.009306
521.469905	0.932190	0.001214
521.560000	0.933198	0.004116
521.920000	0.934208	0.017653
522.000000	0.935160	0.013010
522.280000	0.936532	0.003634
522.365364	0.938049	0.000321
522.640000	0.939818	0.009955
523.000000	0.941566	0.024358
523.260824	0.943299	0.021745
523.370000	0.944826	0.021487
523.730000	0.946359	0.004132
524.000000	0.947799	0.010913
524.090000	0.949148	0.014175
524.156283	0.950176	0.014402
524.450000	0.951088	0.019005
524.810000	0.951590	0.010080
525.000000	0.952258	0.002835
525.051742	0.953236	0.004344
525.170000	0.954764	0.007088
525.530000	0.956516	0.014069
525.890000	0.958310	0.036278
525.947202	0.960362	0.029379
526.000000	0.961718	0.023530
526.260000	0.962793	0.002181
526.620000	0.963673	0.032885
526.842661	0.964688	0.034660
526.980000	0.966077	0.036511
527.000000	0.967784	0.035499
527.340000	0.969529	0.028114
527.700000	0.971397	0.010028
527.738120	0.973250	0.008782
528.000000	0.974756	0.011345
528.060000	0.976186	0.010702
528.420000	0.977418	0.008428
528.633580	0.978315	0.009266
528.780000	0.979143	0.009587
529.000000	0.979883	0.016103
529.140000	0.980573	0.029270
529.500000	0.981600	0.013666
529.529039	0.982647	0.011129
529.860000	0.983710	0.006955
530.000000	0.984656	0.005680
